TEXTO,LIVRO,AUTOR
"Só se vê bem com o coração, o essencial é invisível aos olhos.",O Pequeno Príncipe,Antoine de Saint-Exupéry
"Quando acordei hoje de manhã, eu sabia quem eu era, mas acho que já mudei muitas vezes desde então.",Alice no País das maravilhas,Lewis Carroll
A vida é uma tempestade (...) Um dia você está tomando sol e no dia seguinte o mar te lança contra as rochas. O que faz de você um homem é o que você faz quando a tempestade vem.,O Conde de Monte Cristo,Alexandre Dumas
As coisas têm vida própria. Tudo é questão de despertar a sua alma.,Cem Anos de Solidão,Gabriel García Márquez
"Por você, faria isso mil vezes.",O caçador de Pipas,Khaled Hosseini
Tudo depende do tipo de lente que você utiliza para ver as coisas.,O Mundo de Sofia,Jostein Gaarder
"Palavras são, na minha não tão humilde opinião, nossa inesgotável fonte de magia. Capazes de ferir e de curar.",Harry Potter e as Relíquias da Morte,J.K. Rowling
"Quando os pés estão corretos, todo o resto nos acompanha.","As Crônicas de Nárnia: O leão, a feiticeira e o guarda-roupa",C. S. Lewis
"O amor é a força mais poderosa do universo e quando duas pessoas se amam, nem a distância nem o tempo podem separá-las.",O Melhor de Mim,Nicholas Sparks
Cada qual sabe amar a seu modo; o modo pouco importa; o essencial é que saiba amar.,Machado de Assis,Ressurreição
"Às vezes, se apaixonar é a atitude mais corajosa que alguém pode ter.",A Coroa,Kiera Cass
Também o amor se aprende.,Crônica de uma morte anunciada,Gabriel García Márquez
Um grande amor vale anos de espera.,Bem Casados,Nora Roberts
Meus sentimentos não podem ser reprimidos e preciso que me permita dizer-lhe que eu a admiro e amo ardentemente.,Orgulho e Preconceito,Jane Austen
Amor não é coisa que se possa pedir a alguém.,O Diário de Anne Frank,Anne Frank
Você quer um coração? Você não sabe o quão sortudo és por não ter um. Corações nunca serão práticos enquanto não forem feitos para não se partirem.,O Mágico de Oz ,L. Frank Baum
"O amor não força nada, ao contrário, ele abre caminho.",A Cabana,William P. Young
Ser feliz é uma responsabilidade muito grande. Pouca gente tem coragem.,Um Sopro de Vida,Clarice Lispector
"Nunca podemos julgar a vida dos outros, porque cada um sabe de sua própria dor e renúncia.",Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho
Pretender-se que a vida dos homens seja sempre dirigida pela razão é destruir toda a possibilidade de vida.,Guerra e Paz,Liev Tolstoi
"A cegueira também é isto, viver num mundo onde se tenha acabado a esperança.",Ensaio sobre a Cegueira,José Saramago
Você está livre para amar sem qualquer obrigação.,A Cabana,William P. Young
Sentir é estar distraído.,Poemas Completos de Alberto Caeiro,Fernando Pessoa
Há coisas que são preciosas por não durarem.,Retrato de Dorian Gray,Oscar Wilde
"Renda-se, como eu me rendi. Mergulhe no que você não conhece como eu mergulhei. Não se preocupe em entender, viver ultrapassa qualquer entendimento.",A Hora da Estrela,Clarice Lispector
"O correr da vida embrulha tudo, a vida é assim: esquenta e esfria, aperta e daí afrouxa, sossega e depois desinquieta. O que ela quer da gente é coragem.",Grande Sertão: Veredas,Guimarães Rosa
"Dizem por aí, mas não tenho certeza, que meu sorriso fica mais feliz quando te vejo, dizem também que meus olhos brilham, dizem também que é amor, mas isso sim é certeza.",Dom Casmurro,Machado de Assis
"A primeira coisa que nos diz uma obra de arte é que o mundo da liberdade é possível, e isso nos dá força para lutar contra o mundo da opressão.",Vidas Secas,Graciliano Ramos
O número dos hóspedes crescia; os casulos subdividiam-se em cubículos do tamanho de sepulturas; e as mulheres iam despejando crianças com uma regularidade de gado procriador.,O Cortiço,Aluísio Azevedo
"Desinteressado de dinheiro, de glória e posição, vivendo numa reserva de sonho, adquirira a candura e a pureza d'alma que vão habitar esses homens de uma ideia fixa, os grandes estudiosos, os sábios, e os inventores, gente que fica mais terna, mais ingênua, mais inocente que as donzelas das poesias de outra época.",Triste Fim de Policarpo Quaresma,Lima Barreto
"O amor não se prova, nem se mede. É como Gabriela. Existe, isso basta (...) O facto de não se compreender ou explicar uma coisa não acaba com ela. Nada sei das estrelas, mas as vejo no céu, são a beleza da noite.","Gabriela, Cravo e Canela",Jorge Amado
"É feia. Mas é uma flor. Furou o asfalto, o tédio, o nojo e o ódio.",Carlos Drummond de Andrade,A Rosa do Povo
Você pode passar a vida inteira sem perceber que aquilo que procura está bem na sua frente.,Um Dia,David Nicholls
Esse é o problema da dor. Ela precisa ser sentida.,A Culpa é das Estrelas,John Green
"(...) Não há monumentos dedicados a mim e o meu nome em breve será esquecido, mas amei outra pessoa com toda a minha alma e coração e, para mim, isso sempre bastou.",Diário de uma Paixão,Nicholas Sparks
"Espero que você leve uma vida da qual se orgulhe, ou que tenha força para começar tudo de novo.",O Curioso Caso de Benjamin Button,F. Scott Fitzgerald
"Afinal, de quantas maneiras um coração pode ser destroçado e continuar batendo?",Lua Nova,Stephenie Meye
Tudo o que temos de decidir é o que fazer com o tempo que nos é dado.,"Senhor dos Anéis, A sociedade do anel",J.R.R. Tolkien
"Há amores que só podem viver em seu coração, não em sua vida.",Como eu era antes de você,Jojo Moyes
